,sector,region,scenario,Year,value
0,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,-2.388889255024956e-10
1,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-6.543203074339044e-09
2,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,-1.0451572939117293e-08
3,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,-2.081124920894018e-08
4,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-8.946823332671822e-09
5,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,-3.19123884919441e-07
6,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-1.9947762432052132e-08
7,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,-4.205225924883093e-07
8,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-3.361942005155039e-08
9,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,-1.4172450305e-06
10,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-1.0013459681e-06
11,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,-2.843102621737845e-08
12,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,-7.317331111191146e-07
13,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,-2.0116143485178952e-08
14,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-8.72893074671427e-08
15,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-3.33754341567028e-07
16,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,-8.782678582006317e-09
17,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,-3.344314295518955e-09
18,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,-1.5340275083e-06
19,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,-2.8061518409e-06
20,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,-4.6424422722e-06
21,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-5.41463323778e-05
22,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,-0.0001443733386217
23,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-0.0001102488635477
24,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,-5.79694820845e-05
25,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,-0.000116949398125
26,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,-2.60096532064e-05
27,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-1.52966524268e-05
28,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-9.158665423336446e-07
29,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,-6.382668946589496e-07
30,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,-3.8749761583160975e-08
31,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,-1.6831346386570769e-07
32,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,-8.617914754410102e-07
33,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,-1.475621977e-06
34,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-2.5432251565e-06
35,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-1.9318368683517458e-07
36,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,-1.1109706600310724e-08
37,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,-6.284711729206021e-09
38,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,-2.731970612887984e-09
39,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,-9.726722443068471e-09
40,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,-3.2287468615189417e-07
41,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,-2.2369754246271586e-07
42,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-4.9660892271e-06
43,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,-1.20336661369e-05
44,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-1.17082995679e-05
45,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,-8.0616298617e-06
46,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,-3.6292348586e-06
47,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-4.922595837722354e-07
48,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,-7.311480922462817e-08
49,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,-1.5998704409404602e-09
50,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,0.6664607378836944
51,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,0.8837328754316842
52,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,1.201244315703549
53,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,1.5602202082570176
54,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,2.173083853508354
55,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,2.3121371487235063
56,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,2.4164542675113796
57,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,2.432162203141014
58,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,2.363620983422042
59,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,2.226238913245937
60,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,2.1448651891580273
61,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,2.087396601258149
62,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,2.032816299393723
63,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,1.9630637561601074
64,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,1.8707971910541117
65,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.7439169197426694
66,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,1.5725755132631751
67,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,1.3589858385238225
68,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,1.1193149374122784
69,agriculture,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,0.8791702999621018
70,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,16.86669356637344
71,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,19.00881941492941
72,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,19.947601704585384
73,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,20.0672501284317
74,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,19.522384138397328
75,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,17.254787321868474
76,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,14.48380992281107
77,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,11.947541886453768
78,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,9.072401760293733
79,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,6.679580464119971
80,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,5.160769303952396
81,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,4.022559801497186
82,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,2.887852857551487
83,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,1.787152003199958
84,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,1.1161780368857717
85,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,0.6930008965488793
86,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,0.42058741385557713
87,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,0.24570355671461566
88,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,0.1358924267621169
89,agriculture,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,0.07573599221311808
90,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,249.2980707789829
91,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,283.9588400757643
92,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,326.0731273381319
93,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,336.96143920594955
94,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,324.6323992758033
95,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,289.11047853072694
96,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,228.0942096647787
97,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,167.01386097285487
98,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,127.30797369600377
99,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,100.04965887550209
100,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,76.38966013090007
101,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,55.51779995656136
102,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,39.235371884295574
103,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,29.06327863910724
104,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,22.535261643968276
105,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,17.55315412053826
106,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,13.619511140286644
107,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,10.651511228960421
108,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,8.452013711620786
109,agriculture,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,6.842708553562639
110,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,62.89992879174409
111,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,68.57306998827005
112,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,74.2048133448394
113,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,77.40805333923858
114,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,80.88615063226415
115,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,80.66832525521723
116,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,74.86594835586462
117,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,67.0208955903878
118,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,60.026522027134625
119,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,53.963062490061475
120,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,49.148884857225056
121,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,45.760509148825605
122,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,43.02529917395044
123,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,40.62433129342973
124,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,38.038043106164125
125,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,34.84790265148563
126,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,30.878890871919772
127,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,26.116277558446672
128,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,21.031312031747685
129,agriculture,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,16.13560833055991
130,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,5.0768607676825415
131,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,4.676793725449533
132,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,4.824736326057531
133,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,5.155359013001603
134,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,5.187870548890844
135,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,4.918800144367982
136,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,4.439643513137234
137,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,3.9929145080938664
138,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,3.5386338713209575
139,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,3.060626453607867
140,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,2.6848668495939343
141,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,2.392626804123833
142,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,2.1464012655740836
143,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,1.9103401139047462
144,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,1.6778095729851383
145,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.4459191722955127
146,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,1.2164093039154489
147,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,0.9935046721417544
148,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,0.7845860381136229
149,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,0.595327682694378
150,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,48.888582086912095
151,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,48.307076159141474
152,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,52.820299291410734
153,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,66.97109703367707
154,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,67.12246808828709
155,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,78.52916229524176
156,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,93.42098772467548
157,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,114.01432300772296
158,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,134.12625296470262
159,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,146.991866136254
160,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,143.98112721146833
161,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,123.85715833624359
162,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,94.7281671567909
163,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,64.6409665842189
164,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,45.693986606951654
165,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,33.026154527497575
166,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,23.78182959736835
167,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,17.08907076052626
168,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,12.373867759805911
169,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,9.165066718312003
170,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,87.03638656916935
171,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,86.64298953842604
172,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,86.87181857800634
173,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,70.1796314356974
174,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,60.2318448903072
175,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,51.786986634063645
176,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,47.12183896391052
177,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,41.32154348547065
178,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,32.79110517882302
179,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,26.121147843211432
180,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,20.47563702909928
181,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,15.345228184274015
182,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,10.203281746541503
183,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,5.451553393385119
184,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,2.8995114958440857
185,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.4971803240957857
